"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","449","Проверка возможности выбора цветов самоката при создании заказа","tests","2026-02-03","passed","2026-02-03","TestCreateOrder","test_create_order","",""
"","418","Проверяем, что запрос возвращает ошибку, если при регистрации нет заполнения одного из обязательных полей","tests","2026-02-03","passed","2026-02-03","TestCreateCourier","test_create_courier","",""
"","452","Проверка возможности выбора цветов самоката при создании заказа","tests","2026-02-03","passed","2026-02-03","TestCreateOrder","test_create_order","",""
"","347","Проверка возможности выбора цветов самоката при создании заказа","tests","2026-02-03","passed","2026-02-03","TestCreateOrder","test_create_order","",""
"","340","Проверка наличия ошибки если неправильно указать логин или пароль/авторизация под несуществующим пользователем ","tests","2026-02-03","passed","2026-02-03","TestLoginCourier","test_courier_login","",""
"В теле ответа содержится ключ ""orders"" и его значение это список","10711","Проверяем, что в теле ответа возвращается список заказов","tests","2026-02-03","passed","2026-02-03","TestOrderList","test_order_list","",""
"","323","Проверяем, что запрос возвращает ошибку, если при регистрации нет заполнения одного из обязательных полей","tests","2026-02-03","passed","2026-02-03","TestCreateCourier","test_create_courier","",""
"Ответ 200, тело ответа содержит id курьера","342","Проверка: курьер может авторизоваться заполнив обязательные поля","tests","2026-02-03","passed","2026-02-03","TestLoginCourier","test_courier_login","",""
"Чтобы создать курьера, нужно передать в ручку все обязательные поля. Запрос возвращает правильный код ответа. Успешный запрос возвращает {""ok"":true}","465","Проверяем, что курьера можно создать","tests","2026-02-03","passed","2026-02-03","TestCreateCourier","test_create_courier","",""
"Если создать пользователя с логином, который уже есть, возвращается ошибка - 409","888","Проверяем, что нельзя создать двух одинаковых курьеров(по логину)","tests","2026-02-03","passed","2026-02-03","TestCreateCourier","test_create_courier","",""
"","427","Проверка, что система вернёт ошибку, при незаполненном обязательном поле","tests","2026-02-03","passed","2026-02-03","TestLoginCourier","test_courier_login","",""
"","591","Проверка возможности выбора цветов самоката при создании заказа","tests","2026-02-03","passed","2026-02-03","TestCreateOrder","test_create_order","",""
